target,platform,confirmed,version,auth,severity,customer,license_expiry,shadow_unauth_count,notes
http://137.184.217.47:3000,helicone,true,,auth,info,,,1,Helicone web UI detected (run with --ip-shadow to check for unauth ClickHouse on port 8123)
http://188.34.196.197:3000,helicone,true,,auth,info,,,1,Helicone web UI detected (run with --ip-shadow to check for unauth ClickHouse on port 8123)
https://107.191.51.227:443,helicone,true,,auth,info,,,0,Helicone web UI detected (run with --ip-shadow to check for unauth ClickHouse on port 8123)
https://137.184.217.47:443,helicone,true,,auth,info,,,1,Helicone web UI detected (run with --ip-shadow to check for unauth ClickHouse on port 8123)
https://34.149.150.86:443,helicone,true,,auth,info,,,0,Helicone web UI detected (run with --ip-shadow to check for unauth ClickHouse on port 8123)
http://20.197.48.86:3000,,false,,unknown,none,,,0,
http://5.100.255.188:3000,,false,,unknown,none,,,0,
http://62.171.190.103:3000,,false,,unknown,none,,,0,
https://16.148.235.46:443,,false,,unknown,none,,,0,
https://184.32.93.55:443,,false,,unknown,none,,,0,
https://20.55.49.156:443,,false,,unknown,none,,,0,
https://34.168.167.203:443,,false,,unknown,none,,,0,
https://34.215.36.183:443,,false,,unknown,none,,,0,
https://34.36.125.39:443,,false,,unknown,none,,,0,
https://44.232.135.150:443,,false,,unknown,none,,,0,
https://47.251.252.141:443,,false,,unknown,none,,,0,
https://5.100.255.188:443,,false,,unknown,none,,,0,
https://52.213.104.178:443,,false,,unknown,none,,,0,
https://52.51.24.132:443,,false,,unknown,none,,,0,
https://74.208.17.59:443,,false,,unknown,none,,,0,
https://88.99.171.64:443,,false,,unknown,none,,,0,
