target,platform,confirmed,version,auth,severity,customer,license_expiry,shadow_unauth_count,notes
http://138.201.56.210:80,argilla,true,,unknown,info,,,0,
http://3.238.238.155:80,argilla,true,,auth,info,,,0,
http://3.36.44.136:80,argilla,true,,auth,info,,,0,
http://34.155.184.146:80,argilla,true,,auth,info,,,0,
http://34.175.92.216:80,argilla,true,,unknown,info,,,0,
http://34.49.242.131:80,argilla,true,,auth,info,,,0,
http://34.54.207.128:80,argilla,true,,auth,info,,,0,
http://35.241.3.1:80,argilla,true,,unknown,info,,,0,
https://16.58.226.222:443,argilla,true,,auth,info,,,0,
https://164.92.239.89:443,argilla,true,,auth,info,,,0,
https://178.18.244.233:443,argilla,true,,auth,info,,,0,
https://18.134.153.165:443,argilla,true,,auth,info,,,0,
https://20.50.250.107:443,argilla,true,,unknown,info,,,0,
https://3.9.203.5:443,argilla,true,,auth,info,,,0,
https://34.49.242.131:443,argilla,true,,auth,info,,,0,
https://34.54.207.128:443,argilla,true,,auth,info,,,0,
https://34.79.15.79:443,argilla,true,,auth,info,,,0,
https://35.177.134.61:443,argilla,true,,auth,info,,,0,
https://35.200.129.185:443,argilla,true,,auth,info,,,0,
https://35.241.3.1:443,argilla,true,,unknown,info,,,0,
https://46.225.109.44:443,argilla,true,,auth,info,,,0,
https://51.178.234.195:443,argilla,true,,auth,info,,,0,
https://100.21.2.136:443,promptfoo,true,,auth,info,,,0,
https://3.11.76.159:443,promptfoo,true,,auth,info,,,0,
https://44.239.195.16:443,promptfoo,true,,auth,info,,,0,
http://32.195.195.48:80,,false,,unknown,none,,,0,
http://52.4.216.119:80,,false,,unknown,none,,,0,
https://13.135.26.85:443,,false,,unknown,none,,,0,
https://18.171.107.90:443,,false,,unknown,none,,,0,
https://3.11.107.137:443,,false,,unknown,none,,,0,
https://3.12.183.161:443,,false,,unknown,none,,,0,
https://3.81.181.69:443,,false,,unknown,none,,,0,
https://34.198.30.232:443,,false,,unknown,none,,,0,
https://52.43.35.158:443,,false,,unknown,none,,,0,
https://54.145.64.155:443,,false,,unknown,none,,,0,
https://54.214.31.18:443,,false,,unknown,none,,,0,
https://54.83.34.24:443,,false,,unknown,none,,,0,
